8011,2,8011,,12110270,12140445,8012,8012,,5325100,,
1499,1,1499,,11010435,,1506,1506,,2674150,,
1506,2,1506,,11010435,11040135,1507,100091,,37457350,,
4174,1,4174,,11010290,,4175,4175,,75592150,,
4175,1,4175,,11010290,,4177,4177,,66149850,,
4177,1,4177,,11010290,,19757,19757,,13099575,,
4185,1,4185,,41010020,,1872,1872,,18917000,,
4263,1,4263,,42010310,,7209,7209,,56843967.15901358,28802331.76482963,
4280,1,4280,,41010928,,10040,10040,,23280225,,
4379,1,4379,,41011052,,4119,4119,,5468425,,
4398,1,4398,,13010363,,13062,13062,,42480250,,
4411,2,4411,,30010740,30040060,4414,4414,,16731225,,
4414,1,4414,,30010740,,4415,4415,,18338700,,
4415,1,4415,,30010740,,4417,4417,,4189600,,
4417,1,4417,,30010740,,4428,4428,,28933575,,
4428,1,4428,,30010740,,4431,4431,,41047825,,
4431,1,4431,,30010740,,4437,4437,,39893800,,
4437,1,4437,,30010740,,4445,4445,,8218025,,
1507,2,1507,,11010435,11040136,1511,1511,,1620275,,
1511,1,1511,,11010435,,20233,20233,,19594525,,
1538,2,1538,,12110210,12130336,1539,1539,,12999775,,
1539,1,1539,,12110210,,1543,1543,,14609175,,
1543,1,1543,,12110210,,15475,15475,,12498225,,
1558,1,1558,,11010550,,1567,1567,,52074950,,
1567,1,1567,,11010550,,1576,1576,,63265800,,
1576,1,1576,,11010550,,19786,19786,,145656450,,
1612,1,1612,,13011023,,1616,1616,,44188775,,
1616,1,1616,,13011023,,1624,1624,,70471000,,
1624,1,1624,,13011023,,1627,1627,,74751000,,
1627,1,1627,,13011023,,1326,1326,,30870700,,
1637,1,1637,,41010899,,14587,14587,,67592000,,
1690,1,1690,,30010762,,4415,1691,,52463400,,
4445,1,4445,,30010740,,4455,4455,,61305950,,
4455,1,4455,,30010740,,4456,4456,,27116225,,
4456,1,4456,,30010740,,4460,4460,,4143125,,
4460,1,4460,,30010740,,20028,20028,,12844425,,
4471,1,4471,,42010643,,19085,19085,,44107875,,
4477,1,4477,,13011049,,4482,4482,,63836550,,
4482,1,4482,,13011049,,1349,1349,,33060250,,
4487,1,4487,,12210133,,4490,4490,,18451900,,
8061,1,8061,,10010860,,8063,8063,,34386775,,
19463,1,19463,,15010410,,19465,19465,,78802650,,
1706,1,1706,,41010290,,1707,1707,,1798075,,
1914,1,1914,,41010001,,1915,1915,,577875,,
8238,1,8238,,17010001,,8243,8243,,93664350,,
1707,2,1707,,41010290,41040020,1712,1712,,3923850,,
1712,1,1712,,41010290,,1721,1721,,30243400,,
1721,1,1721,,41010290,,1902,1902,,49795000,,
1802,1,1802,,15010690,,1806,1806,,58569900,,
1806,1,1806,,15010690,,16655,16655,,546521.1381486715,,
1820,1,1820,,10012437,,1827,1827,,71331625,,
1827,1,1827,,10012437,,1833,1833,,37923800,,
1833,1,1833,,10012437,,18838,18838,,69464975,,
2072,1,2072,,17010810,,2080,2080,,13431725,,
1834,1,1834,,10012484,,9847,9847,,4300100,,
1872,1,1872,,41010001,,1875,1873,,2149200,,
1875,1,1875,,41010001,,1876,1876,,11984975,,
1876,1,1876,,41010001,,1881,1881,,17985700,,
1881,1,1881,,41010001,,1884,1884,,17266800,,
1884,1,1884,,41010001,,1890,1890,,15287075,,
1890,1,1890,,41010001,,1896,1896,,27457025,,
1896,1,1896,,41010001,,1902,1902,,29858400,,
1902,1,1902,,41010001,,1909,1909,,35449175,,
1909,1,1909,,41010001,,1913,1913,,47393675,,
1913,1,1913,,41010001,,1914,1914,,10244850,,
2080,1,2080,,17010810,,2081,2081,,26641350,,
2081,1,2081,,17010810,,2090,2090,,20209850,,
2090,1,2090,,17010810,,1000301,1000301,,14623825,,
2111,1,2111,,30010174,,2113,2113,,52944175,,
2113,1,2113,,30010174,,9890,9890,,29665925,,
1915,2,1915,,41010001,41050001,1920,1920,,543075,,
1920,2,1920,,41010001,41050001,1924,1924,,43498500,,
1924,1,1924,,41010001,,1930,1930,,56136750,,
1930,1,1930,,41010001,,1937,1937,,55640325,,
1937,1,1937,,41010001,,1942,1942,,37116950,,
1942,1,1942,,41010001,,1945,1945,,38569600,,
1945,1,1945,,41010001,,1946,1946,,13765800,,
1946,1,1946,,41010001,,1949,1949,,1088150,,
1949,1,1949,,41010001,,1954,1954,,16155800,,
1954,1,1954,,41010001,,1959,1959,,26211150,,
1959,1,1959,,41010001,,1000014,1000014,,90251000,,
1985,1,1985,,41010730,,1991,1991,,65177000,,
1991,1,1991,,41010730,,1993,1993,,30395175,,
1993,1,1993,,41010730,,1937,1937,,7857375,,
2002,1,2002,,12211245,,1128,1128,,47749600,,
2036,1,2036,,30010791,,2039,2039,,45571000,,
2039,1,2039,,30010791,,4437,4437,,39571875,,
2050,1,2050,,20010121,,10815,10815,,41904450,,
2060,1,2060,,17010810,,2068,2068,,63475175,,
2068,1,2068,,17010810,,2072,2072,,38949950,,
2379,2,2379,,20012050,20050100,21476,21476,,1553675,,
2390,1,2390,,15010713,,7589,7589,,34004200,,
2407,1,2407,,15010608,,6992,6992,,65875825,,
2468,1,2468,,14010012,,15940,15940,,23074000,,
2482,1,2482,,17010828,,17777,17777,,35131250,,
2519,2,2519,,50010605,50030300,14657,14657,,69589650,,
2532,1,2532,,30010590,,20039,20039,,70464875,,
2587,1,2587,,13011195,,3477,3477,,11432975,,
2648,1,2648,,10011073,,2658,2658,,19504250,,
2658,1,2658,,10011073,,17468,17468,,41952475,,
2680,1,2680,,12010340,,7276,7276,,10608975,,
4490,1,4490,,12210133,,4494,4494,,324225,,
4494,1,4494,,12210133,,15256,15256,,25420700,,
4510,1,4510,,41011247,,12452,12452,,52680025,,
4511,1,4511,,14010232,,4521,4521,,92867850,,
4521,1,4521,,14010232,,21805,21772,,25108325,,
4541,1,4541,,12210928,,6741,6741,,50795125,,
4587,1,4587,,12010670,,7322,7322,,33182675,,
4632,1,4632,,11010150,,4636,4636,,64310825,,
4636,1,4636,,11010150,,19748,19748,,24780125,,
4651,1,4651,,17010911,,4654,4654,,49021050,,
4654,1,4654,,17010911,,2090,2090,,15156000,,
2690,1,2690,,10010884,,8051,8051,,2994550,,
2709,1,2709,,16010650,,2719,2719,,47238075,,
2719,1,2719,,16010650,,2724,2720,,38019025,,
2724,1,2724,,16010650,,11145,11145,,17047950,,
2734,1,2734,,41011053,,2741,2741,,54121350,,
2741,1,2741,,41011053,,6466,6466,,31843525,,
2753,1,2753,,10011389,,18330,2756,,39824400,,
2802,1,2802,,13010652,,20739,20749,,9555750,,
